Unnamed: 0,id,nct_id,status,name,city,state,zip,country,continent,iso
0,41677291,NCT01815021,,Rambam Health Care Campus,Haifa,,31096,Israel,Middle East,ISR
1,43832875,NCT00068497,,Southwest Oncology Group,San Antonio,Texas,78245,United States,North America,USA
2,41676744,NCT01811199,,Marmara University School of Medicine,Istanbul,,,Turkey,Middle East,TUR
3,41676867,NCT01812395,Recruiting,Konya Education and Research Hospital,Meram,Konya,42040,Turkey,Middle East,TUR
4,41676994,NCT01813136,,Hôpital Saint-Louis APHP,Paris,,75010,France,Europe,FRA
5,41676995,NCT01813136,,Hôpital de la Pitié Salpêtrière APHP,Paris,,75651,France,Europe,FRA
6,41676996,NCT01813136,,Institut Jean Godinot,Reims,,51726,France,Europe,FRA
7,41676997,NCT01813136,,Institut Claudius Régaud,Toulouse,,31052,France,Europe,FRA
8,41676998,NCT01813136,,Institut Gustave Roussy,Villejuif,,94805,France,Europe,FRA
9,41676986,NCT01813136,,CHU Angers,Angers,,49933,France,Europe,FRA
10,41676987,NCT01813136,,CHU Bordeaux,Bordeaux,,33075,France,Europe,FRA
11,41676988,NCT01813136,,Institut Bergonié,Bordeaux,,33076,France,Europe,FRA
12,41676989,NCT01813136,,Centre François Baclesse,Caen,,14076,France,Europe,FRA
13,41676990,NCT01813136,,CHRU Lille Hôpital Claude Huriez,Lille,,59037,France,Europe,FRA
14,41676991,NCT01813136,,Centre Leon Berard,Lyon,,69373,France,Europe,FRA
15,41676992,NCT01813136,,Hôpital de la Timone APHM,Marseille,,13385,France,Europe,FRA
16,41676993,NCT01813136,,Centre Antoine Lacassagne,Nice,,06189,France,Europe,FRA
17,41680916,NCT01838031,,Peking Union Medical College Hospital,Beijing,Beijing,100730,China,East Asia,CHN
18,42209581,NCT03178253,,Maria Hamdy,Assuit,,,Egypt,Africa,EGY
19,41679574,NCT01830504,,Hospices Civils de Lyon,Lyon,,69003,France,Europe,FRA
20,41679741,NCT01831869,,Shandong Provincial Hospital,Jinan,Shandong,250021,China,East Asia,CHN
21,42756833,NCT03602261,,AKDHC Medical Research Services,Phoenix,Arizona,85027,United States,North America,USA
22,41680858,NCT01837433,,"The Second Affiliated Hospital, Third Military Medical University",Chongqing,Chongqing,400037,China,East Asia,CHN
23,41750590,NCT02240563,,"University of Sao Paulo General Hospital, Radiology Institute",Sao Paulo,,05403-000,Brazil,South America,BRA
24,41750591,NCT02240563,,University of Sao Paulo General Hospital,São Paulo,,,Brazil,South America,BRA
25,41679976,NCT01833650,,Bank of Cyprus Oncology,Nicosia,,2006,Cyprus,Middle East,CYP
26,41755414,NCT04481893,Recruiting,Centre François Baclesse,Caen,,,France,Europe,FRA
27,41755415,NCT04481893,Not yet recruiting,CHU CAEN,Caen,,,France,Europe,FRA
28,41755416,NCT04481893,Recruiting,Clinique Mathilde,Rouen,,,France,Europe,FRA
29,42756832,NCT03602261,,AKDHC Medical Research Services,Peoria,Arizona,85381,United States,North America,USA
30,42756834,NCT03602261,,AKDHC Medical Research Services,Phoenix,Arizona,85035,United States,North America,USA
31,42756835,NCT03602261,,AKDHC Medical Research Services,Phoenix,Arizona,85258,United States,North America,USA
32,42756836,NCT03602261,,"WCCT Global, Inc.",Cypress,California,90630,United States,North America,USA
33,42756837,NCT03602261,,Hacienda Dialysis Center,Hacienda Heights,California,91745,United States,North America,USA
34,42756838,NCT03602261,,California Institute of Renal Research CKD/Dialysis & Transplant Division,La Mesa,California,91942,United States,North America,USA
35,42756839,NCT03602261,,Long Beach Quest Dialysis Center,Long Beach,California,90807,United States,North America,USA
36,42756840,NCT03602261,,Ontario Dialysis Center,Ontario,California,91762,United States,North America,USA
37,42756841,NCT03602261,,"North America Research Institute, Inc.",San Dimas,California,91773,United States,North America,USA
38,42756842,NCT03602261,,"Laurel Canyon Dialysis, LLC",Sun Valley,California,91352,United States,North America,USA
39,42756843,NCT03602261,,University of Colorado Denver Anschutz Medical Campus,Aurora,Colorado,80045,United States,North America,USA
40,42756844,NCT03602261,,"Research by Design, LLC",Chicago,Illinois,60643,United States,North America,USA
41,42756845,NCT03602261,,Northshore University Health,Evanston,Illinois,60201,United States,North America,USA
42,42756846,NCT03602261,,Renal and Transplant Associates of New England,Springfield,Massachusetts,01107,United States,North America,USA
43,42756847,NCT03602261,,Southwest MS Nephrology,McComb,Mississippi,39601,United States,North America,USA
44,42756848,NCT03602261,,Southwest Houston Research LTD,Houston,Texas,77099,United States,North America,USA
45,42756849,NCT03602261,,Kidney & Hypertension Specialists,San Antonio,Texas,78207,United States,North America,USA
46,43836441,NCT00073710,,Creighton University,Omaha,Nebraska,68131,United States,North America,USA
47,41680976,NCT01838629,,Hangzhou Center of Disease Control and Prevention,Hangzhou,Zhejiang,310000,China,East Asia,CHN
48,41681444,NCT01840332,,East Tallinn Central Hospital,Tallinn,,10138,Estonia,Europe,EST
49,41681445,NCT01840332,,Tartu University Hospital,Tartu,,50406,Estonia,Europe,EST
50,41683825,NCT01853579,,Leiden University Medical Center,Leiden,,2300,Netherlands,Europe,NLD
51,42209911,NCT03176485,,University of Arizona Cancer Center,Tucson,Arizona,85724,United States,North America,USA
52,41683826,NCT01853579,,Department of General Internal Medicine,Lausanne,Vaud,1011,Switzerland,Europe,CHE
53,41683827,NCT01853579,,"University Clinic for General Internal Medicine, Bern University Hospital",Bern,,3010,Switzerland,Europe,CHE
54,41684237,NCT01856920,,NIH Clinical Center,Bethesda,Maryland,20892,United States,North America,USA
55,41685240,NCT01862510,,Fletcher Allen Health Care,Burlington,Vermont,05405,United States,North America,USA
56,41689781,NCT01889134,,"Department of Endocrinology, Diabetology and Isotope Therapy, Wroclaw Medical University",Wroclaw,,50-367,Poland,Europe,POL
57,41686859,NCT01868750,,University of Virginia,Charlottesville,Virginia,22908,United States,North America,USA
58,41751283,NCT02246504,,"Clinic of thyroid and metabolite bone disease of the Acad. of Ivan Penchev UDHATE - 2, Zdrave street",Sofia,,14031,Bulgaria,Europe,BGR
59,41689410,NCT01885533,,Newcastle upon Tyne Hospitals NHS Foundation Trust,Newcastle upon Tyne,England,NE3 4HD,United Kingdom,Europe,GBR
60,41689411,NCT01885533,,Newcastle upon Tyne Hospitals NHS Foundation Trust,Newcastle upon Tyne,,NE1 4LP,United Kingdom,Europe,GBR
61,41685784,NCT01865838,,Singapore General Hospital,Singapore,,169608,Singapore,Southeast Asia,SGP
62,41685785,NCT01865838,,National Cancer Centre Singapore,Singapore,,169610,Singapore,Southeast Asia,SGP
63,41687490,NCT01872429,,Far Eastern Memorial Hospital,New Taipei City,,,Taiwan,East Asia,TWN
64,41688691,NCT01880203,,Centre François BACLESSE,Caen,Calvados,14000,France,Europe,FRA
65,41688692,NCT01880203,,CHU,Caen,Calvados,14000,France,Europe,FRA
66,41688693,NCT01880203,,Hôpital Américain de Paris,Neuilly sur seine,,,France,Europe,FRA
67,41688694,NCT01880203,,Hôpital Pitié-salpétrière,Paris,,75 000,France,Europe,FRA
68,41692626,NCT01907997,,"Department of Anesthesiology and Pain Medicine, Anesthesia and Pain Research Institue, Yonsei universiy college of medicine",Seoul,,120-752,"Korea, Republic of",East Asia,KOR
69,42759972,NCT04742608,Recruiting,UCLA / Jonsson Comprehensive Cancer Center,Los Angeles,California,90095,United States,North America,USA
70,41690485,NCT01893450,,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Mexico City,Distrito Federal,14000,Mexico,North America,MEX
71,42812640,NCT00115739,,University of Michigan Cancer Center,Ann Arbor,Michigan,48109,United States,North America,USA
72,41693636,NCT01915485,Recruiting,Instituto Nacional do Cancer do Rio de Janeiro,Rio de Janeiro,,,Brazil,South America,BRA
73,42760140,NCT04589624,Recruiting,M D Anderson Cancer Center,Houston,Texas,77030,United States,North America,USA
74,41700816,NCT01954134,,"Cumhuriyet University, School of Medicine, Dept. of Nuclear Medicine",Sivas,,58140,Turkey,Middle East,TUR
75,41696718,NCT01935856,,"For additional information regarding investigative sites for this trial, contact Kyowa Hakko Kirin",Tokyo,,,Japan,East Asia,JPN
76,42761364,NCT03647657,,"University Hospital Basel, Clinic for radiology and nuclear medicine",Basel,,4031,Switzerland,Europe,CHE
77,42761586,NCT03397238,,Radboudumc,Nijmegen,,6525GA,Netherlands,Europe,NLD
78,41698128,NCT01945229,,"Medicine Clinic, Sahlgrenska University Hospital",Gothemburg,,41345,Sweden,Europe,SWE
79,41698129,NCT01945229,,"Endocrinology Clinik, Karolinska University Hospital",Stockholm,,17176,Sweden,Europe,SWE
80,41698130,NCT01945229,,"Medicine Clinic, Danderyds Hospital",Stockholm,,18288,Sweden,Europe,SWE
81,41693916,NCT01916018,,"Pediatric endocrinology gynecology and diabetology, Hôpital Necker Enfants Malades, Assistance Publique - Hôpitaux de Paris , Université Paris Descartes, INSERM unit U 845",Paris,,75015,France,Europe,FRA
82,43838463,NCT00077103,,Josephine Ford Cancer Center at Henry Ford Hospital,Detroit,Michigan,48202,United States,North America,USA
83,43838464,NCT00077103,,"Ireland Cancer Center at University Hosptials Case Medical Center, Case Comprehensive Cancer Center",Cleveland,Ohio,44106-5065,United States,North America,USA
84,43838465,NCT00077103,,Hillman Cancer Center at University of Pittsburgh Cancer Institute,Pittsburgh,Pennsylvania,15232,United States,North America,USA
85,41695510,NCT01927406,,Stanford Hospital and Clinics,Stanford,California,94304,United States,North America,USA
86,42760969,NCT03892993,Recruiting,M D Anderson Cancer Center,Houston,Texas,77030,United States,North America,USA
87,41698182,NCT01945762,,investigational Site Belgium,Belgium,,,Belgium,Europe,BEL
88,41698183,NCT01945762,,investigational Site France,France,,,France,Europe,FRA
89,41698184,NCT01945762,,investigational Site Germany,Germany,,,Germany,Europe,DEU
90,41698185,NCT01945762,,investigational Site Italy,Italy,,,Italy,Europe,ITA
91,41698186,NCT01945762,,investigational Site Luxembourg,Luxembourg,,,Luxembourg,,
92,41698187,NCT01945762,,investigational Site Netherlands,Netherlands,,,Netherlands,Europe,NLD
93,41698188,NCT01945762,,investigational Site Spain,Spain,,,Spain,Europe,ESP
94,41698189,NCT01945762,,investigational Site United Kingdom,United Kingdom,,,United Kingdom,Europe,GBR
95,42762502,NCT02688608,,UT Southwestern Medical Center,Dallas,Texas,75390,United States,North America,USA
96,42210582,NCT03170804,Recruiting,Aventura Hospital and Medical Center,Aventura,Florida,33180,United States,North America,USA
97,43840650,NCT00080574,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Bethesda,Maryland,20892,United States,North America,USA
98,42768423,NCT05346419,,Peri-postmenopause and bone metabolism clinic. Regional Hospital October 1st ISSSTE,Mexico City,,07300,Mexico,North America,MEX
99,41702453,NCT01964144,,"Division of Medical Oncology, Yonsei Cancer Center, Yonsei University College of Medicine",Seoul,,120-752,"Korea, Republic of",East Asia,KOR
100,41703133,NCT01969019,Recruiting,"Shanghai Institute of Endocrine and Metabolic Diseases Department of Endocrine and Metabolic Diseases, Ruijin Hospital",Shanghai,Shanghai,200025,China,East Asia,CHN
101,42775162,NCT00381641,,University of Maryland/Greenebaum Cancer Center,Baltimore,Maryland,21201,United States,North America,USA
102,42769861,NCT04754607,Recruiting,Sumeyye TUNC,Istanbul,,,Turkey,Middle East,TUR
103,42211001,NCT03167385,Recruiting,Tianjin Medical University Cancer Institute and Hospital,Tianjin,Tianjin,300060,China,East Asia,CHN
104,42775163,NCT00381641,,University of Michigan Comprehensive Cancer Center,Ann Arbor,Michigan,48109,United States,North America,USA
105,42775164,NCT00381641,,Oncology Care Associates PLLC,Saint Joseph,Michigan,49085,United States,North America,USA
106,42775165,NCT00381641,,Mercy Hospital Saint Louis,Saint Louis,Missouri,63141,United States,North America,USA
107,42775166,NCT00381641,,M D Anderson Cancer Center,Houston,Texas,77030,United States,North America,USA
108,42775167,NCT00381641,,Medical College of Wisconsin,Milwaukee,Wisconsin,53226,United States,North America,USA
109,41705812,NCT01985204,,"Universite Caddi Ayad, Faculte de Medecine et de Pharmacie",Marrakech,,,Morocco,,
110,42775151,NCT00381641,,University of Chicago Comprehensive Cancer Center,Chicago,Illinois,60637,United States,North America,USA
111,42775152,NCT00381641,,Decatur Memorial Hospital,Decatur,Illinois,62526,United States,North America,USA
112,42775153,NCT00381641,,NorthShore University HealthSystem-Evanston Hospital,Evanston,Illinois,60201,United States,North America,USA
113,42775154,NCT00381641,,Ingalls Memorial Hospital,Harvey,Illinois,60426,United States,North America,USA
114,42775155,NCT00381641,,Duly Health and Care Joliet,Joliet,Illinois,60435,United States,North America,USA
115,42775156,NCT00381641,,Loyola University Medical Center,Maywood,Illinois,60153,United States,North America,USA
116,42775157,NCT00381641,,Illinois CancerCare-Peoria,Peoria,Illinois,61615,United States,North America,USA
117,42775158,NCT00381641,,Central Illinois Hematology Oncology Center,Springfield,Illinois,62702,United States,North America,USA
118,42775159,NCT00381641,,Southern Illinois University School of Medicine,Springfield,Illinois,62702,United States,North America,USA
119,42775160,NCT00381641,,Fort Wayne Medical Oncology and Hematology Inc-Parkview,Fort Wayne,Indiana,46845,United States,North America,USA
120,42775161,NCT00381641,,Northern Indiana Cancer Research Consortium,South Bend,Indiana,46628,United States,North America,USA
121,41705813,NCT01985204,,"University Cadi Ayyad, Faculte des Sciences",Marrakech,,,Morocco,,
122,41707856,NCT01994200,,Jewish General Hospital,Montreal,Quebec,H3T 1E8,Canada,North America,CAN
123,41708830,NCT01999790,Recruiting,Hospital das Clinicas - FMUSP,São Paulo,SP,05403-010,Brazil,South America,BRA
124,41708387,NCT01997554,,Centre Hospitalier de Chambéry,Chambéry,,73000,France,Europe,FRA
125,41708388,NCT01997554,,Centre Hospitalier Lyon Sud,Pierre-Bénite,,69495,France,Europe,FRA
126,41708139,NCT01996072,,Hospital of the University of Pennsylvania,Philadelphia,Pennsylvania,19104,United States,North America,USA
127,42211813,NCT03160482,,CIUSSS de l'Estrie - CHUS,Sherbrooke,Quebec,J1G 2E8,Canada,North America,CAN
128,42217828,NCT03134976,,University of Michigan,Ann Arbor,Michigan,48019,United States,North America,USA
129,42211869,NCT03160274,Recruiting,University of Texas Health Science Center,San Antonio,Texas,78229,United States,North America,USA
130,41712698,NCT02017080,Recruiting,"Clinic for Gynecology and Obstetrics , Clinical Center of Serbia",Belgrade,,11000,Serbia,Europe,SRB
