Unnamed: 0,id,nct_id,agency_class,lead_or_collaborator,name,new_class
0,11189633,NCT00936650,INDUSTRY,lead,Amgen,Other
1,11189659,NCT00936988,INDUSTRY,lead,Amgen,Other
2,11191119,NCT00954837,OTHER,lead,Assistance Publique - Hôpitaux de Paris,Other
3,11190453,NCT00946894,OTHER,lead,Jagiellonian University,University
4,11190035,NCT00941551,OTHER,lead,Jagiellonian University,University
5,11190575,NCT00948337,OTHER_GOV,lead,"National Cancer Center, Korea",Health care Institution
6,11191360,NCT00958113,OTHER,lead,"University of Colorado, Denver",University
7,11191377,NCT00958451,FED,lead,Salem Veterans Affairs Medical Center,Health care Institution
8,11191378,NCT00958451,INDUSTRY,collaborator,Abbott,Other
9,11192766,NCT00961701,OTHER,lead,"HaEmek Medical Center, Israel",Health care Institution
10,10921514,NCT04248114,OTHER_GOV,lead,Western Galilee Hospital-Nahariya,Health care Institution
11,11192175,NCT03975231,OTHER,lead,City of Hope Medical Center,Health care Institution
12,11192176,NCT03975231,NIH,collaborator,National Cancer Institute (NCI),Government Agency
13,11192767,NCT00961701,OTHER,collaborator,University of Palermo,University
14,11192768,NCT00961701,OTHER,collaborator,University of Zurich,University
15,11192818,NCT00962221,OTHER,lead,"HaEmek Medical Center, Israel",Health care Institution
16,11192819,NCT00962221,OTHER,collaborator,University of Palermo,University
17,11192820,NCT00962221,OTHER,collaborator,University of Zurich,University
18,11193741,NCT00973336,OTHER,lead,Medical University of Vienna,University
19,11194576,NCT00984191,OTHER,lead,Chulalongkorn University,Health care Institution
20,11194464,NCT00982722,OTHER,lead,Karolinska University Hospital,Health care Institution
21,11197012,NCT02465060,NIH,lead,National Cancer Institute (NCI),Government Agency
22,11195398,NCT05407506,OTHER,lead,Luo Dingcun,Other
23,11195825,NCT04969926,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
24,11195863,NCT04927416,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
25,11196474,NCT03841617,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
26,11079609,NCT02993302,OTHER,lead,Dr Cipto Mangunkusumo General Hospital,Health care Institution
27,11079610,NCT02993302,OTHER,collaborator,Indonesia University,University
28,10921859,NCT03139747,OTHER,lead,Thomas Jefferson University,University
29,11197267,NCT01660984,NIH,lead,National Cancer Institute (NCI),Government Agency
30,11197416,NCT01109420,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
31,11197540,NCT00342446,NIH,lead,National Cancer Institute (NCI),Government Agency
32,11197440,NCT01005654,NIH,lead,National Cancer Institute (NCI),Government Agency
33,10922848,NCT05391945,OTHER,lead,Centre Hospitalier Universitaire Saint Pierre,Health care Institution
34,11197774,NCT00001242,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
35,11197789,NCT00001160,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
36,11197790,NCT00001159,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
37,10652814,NCT03475953,OTHER,lead,Institut Bergonié,Other
38,10652815,NCT03475953,INDUSTRY,collaborator,Bayer,Other
39,10652816,NCT03475953,INDUSTRY,collaborator,"Merck KGaA, Darmstadt, Germany",Other
40,10787882,NCT03454477,OTHER,lead,Fujian Medical University,University
41,10787883,NCT03454464,OTHER,lead,Fujian Medical University,University
42,11197509,NCT00454220,INDUSTRY,lead,"Genzyme, a Sanofi Company",Other
43,11197764,NCT00001277,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
44,11055587,NCT01868997,INDUSTRY,lead,"Horizon Pharma USA, Inc.",Industry
45,10518820,NCT00995163,INDUSTRY,lead,"Kyowa Kirin Co., Ltd.",Industry
46,11055726,NCT01876784,INDUSTRY,lead,"Genzyme, a Sanofi Company",Other
47,10654133,NCT02988817,INDUSTRY,lead,Genmab,Other
48,10653194,NCT05068687,OTHER,lead,"University Hospital, Ghent",Health care Institution
49,10653195,NCT05068687,INDUSTRY,collaborator,XEOS Medical,Other
50,10923175,NCT05176639,INDUSTRY,lead,"Viridian Therapeutics, Inc.",Industry
51,10653554,NCT02178345,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
52,10788715,NCT04858867,OTHER,lead,Leiden University Medical Center,Health care Institution
53,10653527,NCT02609685,OTHER,lead,Cedars-Sinai Medical Center,Health care Institution
54,10653781,NCT05015127,INDUSTRY,lead,Harbour BioMed (Guangzhou) Co. Ltd.,Industry
55,10924440,NCT05088187,OTHER,lead,Karolinska University Hospital,Health care Institution
56,10924441,NCT05088187,OTHER,collaborator,The Netherlands Cancer Institute,Other
57,10789676,NCT03447093,OTHER,lead,First Affiliated Hospital of Harbin Medical University,Health care Institution
58,11000331,NCT02688608,OTHER,lead,Saad A Khan,Other
59,10924690,NCT04988802,OTHER,lead,University Hospital Dubrava,Health care Institution
60,11000332,NCT02688608,INDUSTRY,collaborator,Merck Sharp & Dohme LLC,Other
61,10789932,NCT03444246,OTHER,lead,Xijing Hospital,Health care Institution
62,10655393,NCT03573960,INDUSTRY,lead,Eisai Pharmaceuticals India Pvt. Ltd,Other
63,10790990,NCT03432299,OTHER,lead,Seoul National University Hospital,Health care Institution
64,11056176,NCT05078853,OTHER,lead,Soroka University Medical Center,Health care Institution
65,10790561,NCT03437174,OTHER,lead,University of Wuerzburg,University
66,10790562,NCT03437174,OTHER,collaborator,Ludwig-Maximilians - University of Munich,University
67,10790563,NCT03437174,OTHER,collaborator,University Medical Center Rostock,Health care Institution
68,10790564,NCT03437174,UNKNOWN,collaborator,"Praxis Endokrinologie in Charlottenburg, Berlin",Other
69,10790565,NCT03437174,OTHER,collaborator,"Charite University, Berlin, Germany",University
70,10790566,NCT03437174,UNKNOWN,collaborator,"Endocrine Practice, Oldenburg, Germany",Other
71,10790831,NCT03434067,OTHER,lead,"Bo Wang,MD",Other
72,10792978,NCT03411187,OTHER,lead,"Bo Wang,MD",Other
73,10791605,NCT03425747,OTHER,lead,Campus Bio-Medico University,University
74,10792054,NCT03420963,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
