Unnamed: 0,id,nct_id,agency_class,lead_or_collaborator,name,new_class
0,9583061,NCT03449108,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
1,9582295,NCT02203682,OTHER,lead,Sun Yat-sen University,University
2,9582413,NCT05126147,OTHER,lead,National Taiwan University Hospital,Health care Institution
3,9582415,NCT05126108,OTHER,lead,Assistance Publique - Hôpitaux de Paris,Other
4,9582466,NCT05124938,OTHER,lead,Sohag University,University
5,9583098,NCT03131726,OTHER,lead,Lund University,University
6,9314535,NCT03647358,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
7,9582381,NCT05126706,OTHER,lead,Seoul National University Hospital,Health care Institution
8,9583062,NCT03449108,INDUSTRY,collaborator,"Iovance Biotherapeutics, Inc.",Industry
9,9583063,NCT03449108,NIH,collaborator,National Cancer Institute (NCI),Government Agency
10,9685537,NCT01126060,OTHER,lead,Samsung Medical Center,Health care Institution
11,9685507,NCT00849888,INDUSTRY,lead,Enzyvant Therapeutics GmBH,Other
12,9685508,NCT00849888,NIH,collaborator,National Institutes of Health (NIH),Government Agency
13,9685509,NCT00849888,NIH,collaborator,National Institute of Allergy and Infectious Diseases (NIAID),Government Agency
14,9685510,NCT00849888,NIH,collaborator,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Government Agency
15,9700092,NCT01728623,INDUSTRY,lead,"Eisai Co., Ltd.",Industry
16,9685837,NCT01138475,OTHER,lead,"Kerstyn C. Zalesin, M.D.",Other
17,9685838,NCT01138475,INDUSTRY,collaborator,Abbott,Other
18,9585541,NCT02525796,OTHER,lead,Brigham and Women's Hospital,Health care Institution
19,9583918,NCT05130476,OTHER,lead,Odense University Hospital,Health care Institution
20,9685744,NCT01134315,INDUSTRY,lead,"AbbVie (prior sponsor, Abbott)",Other
21,9685745,NCT01134315,UNKNOWN,collaborator,North America Pediatric Renal Trials and Collaborative Studies (NAPRTCS),Other
22,9685750,NCT01134549,INDUSTRY,lead,KAI Pharmaceuticals,Other
23,9685751,NCT01134549,OTHER,collaborator,Nucleus Network Ltd,Other
24,9685752,NCT01134562,INDUSTRY,lead,KAI Pharmaceuticals,Other
25,9181367,NCT01115543,OTHER,lead,Mahidol University,University
26,9586286,NCT05228184,INDUSTRY,lead,IBSA Institut Biochimique SA,Other
27,9586287,NCT05228184,INDUSTRY,collaborator,Cromsource,Other
28,9586361,NCT05182931,OTHER,lead,Olivia Newton-John Cancer Research Institute,Other
29,9586362,NCT05182931,OTHER,collaborator,Royal North Shore Hospital,Health care Institution
30,9586363,NCT05182931,OTHER_GOV,collaborator,Austin Health,Other
31,9586364,NCT05182931,OTHER,collaborator,Sir Charles Gairdner Hospital,Health care Institution
32,9586365,NCT05182931,OTHER,collaborator,Monash Health,Other
33,9586366,NCT05182931,OTHER,collaborator,"Peter MacCallum Cancer Centre, Australia",Other
34,9586367,NCT05182931,OTHER_GOV,collaborator,Royal Brisbane and Women's Hospital,Health care Institution
35,9586368,NCT05182931,OTHER,collaborator,Eastern Health,Other
36,9586369,NCT05182931,OTHER,collaborator,The Alfred,Other
37,9447834,NCT03307694,OTHER,lead,Emory University,University
38,9589328,NCT05119296,OTHER,lead,Stanford University,University
39,9587078,NCT04647500,OTHER,lead,"University of Geneva, Switzerland",University
40,9587866,NCT03880578,OTHER,lead,Klinikum Lüdenscheid,Other
41,9588724,NCT01964508,OTHER,lead,Hadassah Medical Organization,Other
42,9588059,NCT03633708,INDUSTRY,lead,Amgen,Other
43,9588626,NCT02393690,OTHER,lead,Academic and Community Cancer Research United,Other
44,9588627,NCT02393690,NIH,collaborator,National Cancer Institute (NCI),Government Agency
45,9686701,NCT01171690,OTHER,lead,Mayo Clinic,Health care Institution
46,9589329,NCT05119296,INDUSTRY,collaborator,Merck Sharp & Dohme LLC,Other
47,9686982,NCT01181531,INDUSTRY,lead,Amgen,Other
48,9686998,NCT01182285,NIH,lead,National Cancer Institute (NCI),Government Agency
49,9314950,NCT04524884,OTHER,lead,Fudan University,University
50,9591126,NCT05054634,OTHER,lead,Quironsalud,Other
51,9700236,NCT05316922,OTHER,lead,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",Other
52,9687308,NCT01191762,INDIV,lead,"Kenneth R. Phelps, M.D.",Other
53,9591275,NCT05052359,OTHER,lead,"National University Health System, Singapore",University
54,9591390,NCT05049603,OTHER,lead,University of Pisa,University
55,9591391,NCT05049603,OTHER,collaborator,Università degli Studi dell'Insubria,Other
56,9591392,NCT05049603,OTHER,collaborator,University of Catania,University
57,9591393,NCT05049603,OTHER,collaborator,University of Messina,University
58,9591395,NCT05049551,OTHER,lead,Centre Hospitalier Princesse Grace,Health care Institution
59,9314966,NCT04523974,OTHER,lead,Shanghai Zhongshan Hospital,Health care Institution
60,9687309,NCT01191762,INDUSTRY,collaborator,"Genzyme, a Sanofi Company",Other
61,9591775,NCT05043584,OTHER,lead,Regional Hospital West Jutland,Health care Institution
62,9591801,NCT05043233,OTHER,lead,Shanghai Jiao Tong University School of Medicine,University
63,9591776,NCT05043584,OTHER,collaborator,Hospital of South West Jutland,Health care Institution
64,9593295,NCT05019118,INDUSTRY,lead,Cooperativas Lacteas Unidas,Other
65,9592200,NCT05036525,INDUSTRY,lead,HAN Biomedical Inc,Other
66,9592385,NCT05033496,OTHER_GOV,lead,Hillel Yaffe Medical Center,Health care Institution
67,9592946,NCT05025046,INDUSTRY,lead,Rigen Biotech,Other
68,9592947,NCT05025046,OTHER,collaborator,Tianjin Medical University Cancer Institute and Hospital,Health care Institution
69,9592948,NCT05025046,OTHER,collaborator,Guangdong Provincial People's Hospital,Health care Institution
70,9592949,NCT05025046,OTHER,collaborator,RenJi Hospital,Health care Institution
71,9592950,NCT05025046,OTHER,collaborator,Zhejiang Provincial People's Hospital,Health care Institution
72,9592951,NCT05025046,OTHER,collaborator,The First People's Hospital of Changzhou,Health care Institution
73,9592952,NCT05025046,OTHER,collaborator,Shenzhen People's Hospital,Health care Institution
74,9592953,NCT05025046,OTHER,collaborator,"Zhongshan People's Hospital, Guangdong, China",Health care Institution
75,9593296,NCT05019118,NETWORK,collaborator,Galician South Health Research Institute,Other
76,9593440,NCT05017142,OTHER,lead,University of Bern,University
77,9406969,NCT03667157,OTHER,lead,Medical University of Warsaw,University
78,9593441,NCT05017142,UNKNOWN,collaborator,Schweizerische Multiple Sklerose Gesellschaft,Other
79,9593442,NCT05017142,OTHER,collaborator,"University Hospital Inselspital, Berne",Health care Institution
80,9593443,NCT05017142,UNKNOWN,collaborator,Roche Pharma (Switzerland) Ltd,Other
81,9593444,NCT05017142,INDUSTRY,collaborator,Novartis,Other
82,9593869,NCT05012033,OTHER,lead,Imperial College London,Other
83,9593535,NCT05015725,OTHER,lead,Semmelweis University,University
84,9687759,NCT01208051,NIH,lead,National Cancer Institute (NCI),Government Agency
85,9315097,NCT04522622,OTHER,collaborator,"Rigshospitalet, Denmark",Health care Institution
86,9315094,NCT04522622,OTHER,lead,Ditte Hansen,Other
87,9270560,NCT01994200,OTHER,lead,Jewish General Hospital,Health care Institution
88,9270561,NCT01994200,INDUSTRY,collaborator,"Genzyme, a Sanofi Company",Other
89,9598517,NCT04948437,OTHER,lead,National Taiwan University Hospital,Health care Institution
90,9315095,NCT04522622,OTHER,collaborator,Odense University Hospital,Health care Institution
91,9594384,NCT05003856,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
92,9315096,NCT04522622,OTHER,collaborator,Steno Diabetes Center Copenhagen,Other
93,9315112,NCT04522570,OTHER,lead,Instituto do Cancer do Estado de São Paulo,Other
94,9181571,NCT01118065,OTHER,lead,Leiden University Medical Center,Health care Institution
95,9596301,NCT04976816,OTHER,lead,Assiut University,University
96,9315193,NCT04521348,OTHER,lead,Fudan University,University
97,9598169,NCT04953195,OTHER,lead,Beijing Chao Yang Hospital,Health care Institution
98,9688621,NCT01240590,NIH,lead,National Cancer Institute (NCI),Government Agency
99,9315098,NCT04522622,OTHER,collaborator,Universiteit Antwerpen,Other
100,9594714,NCT04998968,OTHER,lead,Uppsala University,University
101,9688074,NCT01219855,INDUSTRY,lead,"OPKO Health, Inc.",Industry
102,9688197,NCT01224782,INDUSTRY,lead,"AbbVie (prior sponsor, Abbott)",Other
103,9688252,NCT01226914,OTHER,lead,Medical University of South Carolina,University
104,9688253,NCT01226914,INDUSTRY,collaborator,"Ethicon, Inc.",Industry
105,9598236,NCT04952012,OTHER,lead,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Health care Institution
106,9598237,NCT04952012,UNKNOWN,collaborator,First People's Hospital of Yuhang,Health care Institution
107,9598238,NCT04952012,UNKNOWN,collaborator,Taizhou Women and Children's Hospital Affiliated to Wenzhou Medical University,Health care Institution
108,9598239,NCT04952012,UNKNOWN,collaborator,Changxing People's Hospital,Health care Institution
109,9598661,NCT04946123,INDUSTRY,lead,Lo.Li.Pharma s.r.l,Other
110,9598885,NCT04943146,OTHER,lead,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Health care Institution
111,9598886,NCT04943146,UNKNOWN,collaborator,Ningbo Women and Children's Hospital,Health care Institution
112,9598887,NCT04943146,UNKNOWN,collaborator,People's Hospital of Jinhua,Health care Institution
113,9598914,NCT04942769,OTHER,lead,Beijing Chao Yang Hospital,Health care Institution
114,9599698,NCT04931576,OTHER,lead,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Health care Institution
115,9599627,NCT04932135,OTHER,lead,"University Hospital, Basel, Switzerland",Health care Institution
116,9688969,NCT01254565,INDUSTRY,lead,KAI Pharmaceuticals,Other
117,9599330,NCT04936698,OTHER,lead,Chang Gung Memorial Hospital,Health care Institution
118,9600031,NCT04927468,OTHER,lead,Sun Yat-sen University,University
119,9689347,NCT01268098,INDUSTRY,lead,Shire,Other
120,9600313,NCT04922892,OTHER,lead,The Second Hospital of Nanjing Medical University,Health care Institution
121,9689283,NCT01265992,INDUSTRY,lead,"AbbVie (prior sponsor, Abbott)",Other
122,9689284,NCT01265992,INDUSTRY,collaborator,Pharma Consulting Group AB,Other
123,9600593,NCT04919694,OTHER,lead,Sun Yat-sen University,University
124,9600914,NCT04916262,OTHER,lead,Qianfoshan Hospital,Health care Institution
125,9602078,NCT04905641,OTHER,lead,Mahidol University,University
126,9689394,NCT01270321,OTHER,lead,Emory University,University
127,9689395,NCT01270321,INDUSTRY,collaborator,Novartis,Other
128,9689472,NCT01273597,INDUSTRY,lead,"AbbVie (prior sponsor, Abbott)",Other
129,9689473,NCT01273597,UNKNOWN,collaborator,Planimeter Ltd,Other
