Unnamed: 0,id,nct_id,agency_class,lead_or_collaborator,name,new_class
0,9582415,NCT05126108,OTHER,lead,Assistance Publique - Hôpitaux de Paris,Other
1,9582381,NCT05126706,OTHER,lead,Seoul National University Hospital,Health care Institution
2,9582295,NCT02203682,OTHER,lead,Sun Yat-sen University,University
3,9582466,NCT05124938,OTHER,lead,Sohag University,University
4,9582413,NCT05126147,OTHER,lead,National Taiwan University Hospital,Health care Institution
5,9849247,NCT01060982,INDUSTRY,lead,Theraclion,Other
6,9583098,NCT03131726,OTHER,lead,Lund University,University
7,9314535,NCT03647358,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
8,9583061,NCT03449108,OTHER,lead,M.D. Anderson Cancer Center,Health care Institution
9,9583062,NCT03449108,INDUSTRY,collaborator,"Iovance Biotherapeutics, Inc.",Industry
10,9583063,NCT03449108,NIH,collaborator,National Cancer Institute (NCI),Government Agency
11,9585541,NCT02525796,OTHER,lead,Brigham and Women's Hospital,Health care Institution
12,9685507,NCT00849888,INDUSTRY,lead,Enzyvant Therapeutics GmBH,Other
13,9685508,NCT00849888,NIH,collaborator,National Institutes of Health (NIH),Government Agency
14,9685509,NCT00849888,NIH,collaborator,National Institute of Allergy and Infectious Diseases (NIAID),Government Agency
15,9685510,NCT00849888,NIH,collaborator,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Government Agency
16,9685537,NCT01126060,OTHER,lead,Samsung Medical Center,Health care Institution
17,9583918,NCT05130476,OTHER,lead,Odense University Hospital,Health care Institution
18,9685744,NCT01134315,INDUSTRY,lead,"AbbVie (prior sponsor, Abbott)",Other
19,9685745,NCT01134315,UNKNOWN,collaborator,North America Pediatric Renal Trials and Collaborative Studies (NAPRTCS),Other
20,9685750,NCT01134549,INDUSTRY,lead,KAI Pharmaceuticals,Other
21,9685751,NCT01134549,OTHER,collaborator,Nucleus Network Ltd,Other
22,9685752,NCT01134562,INDUSTRY,lead,KAI Pharmaceuticals,Other
23,9685837,NCT01138475,OTHER,lead,"Kerstyn C. Zalesin, M.D.",Other
24,9685838,NCT01138475,INDUSTRY,collaborator,Abbott,Other
25,9586361,NCT05182931,OTHER,lead,Olivia Newton-John Cancer Research Institute,Other
26,9586286,NCT05228184,INDUSTRY,lead,IBSA Institut Biochimique SA,Other
27,9586287,NCT05228184,INDUSTRY,collaborator,Cromsource,Other
28,9586362,NCT05182931,OTHER,collaborator,Royal North Shore Hospital,Health care Institution
29,9586363,NCT05182931,OTHER_GOV,collaborator,Austin Health,Other
30,9586364,NCT05182931,OTHER,collaborator,Sir Charles Gairdner Hospital,Health care Institution
31,9586365,NCT05182931,OTHER,collaborator,Monash Health,Other
32,9586366,NCT05182931,OTHER,collaborator,"Peter MacCallum Cancer Centre, Australia",Other
33,9586367,NCT05182931,OTHER_GOV,collaborator,Royal Brisbane and Women's Hospital,Health care Institution
34,9586368,NCT05182931,OTHER,collaborator,Eastern Health,Other
35,9586369,NCT05182931,OTHER,collaborator,The Alfred,Other
36,9700092,NCT01728623,INDUSTRY,lead,"Eisai Co., Ltd.",Industry
37,9447834,NCT03307694,OTHER,lead,Emory University,University
38,9587866,NCT03880578,OTHER,lead,Klinikum Lüdenscheid,Other
39,9587078,NCT04647500,OTHER,lead,"University of Geneva, Switzerland",University
40,9686982,NCT01181531,INDUSTRY,lead,Amgen,Other
41,9588724,NCT01964508,OTHER,lead,Hadassah Medical Organization,Other
42,9588059,NCT03633708,INDUSTRY,lead,Amgen,Other
