Unnamed: 0,id,nct_id,agency_class,lead_or_collaborator,name,new_class
0,11189633,NCT00936650,INDUSTRY,lead,Amgen,INDUSTRY
1,11189659,NCT00936988,INDUSTRY,lead,Amgen,INDUSTRY
2,11190453,NCT00946894,OTHER,lead,Jagiellonian University,University
3,11190035,NCT00941551,OTHER,lead,Jagiellonian University,University
4,11192766,NCT00961701,OTHER,lead,"HaEmek Medical Center, Israel",Health care Institution
5,11190575,NCT00948337,OTHER_GOV,lead,"National Cancer Center, Korea",Health care Institution
6,11191119,NCT00954837,OTHER,lead,Assistance Publique - Hôpitaux de Paris,Other organization
7,10921514,NCT04248114,OTHER_GOV,lead,Western Galilee Hospital-Nahariya,Health care Institution
8,11192175,NCT03975231,OTHER,lead,City of Hope Medical Center,Health care Institution
9,11192176,NCT03975231,NIH,collaborator,National Cancer Institute (NCI),Government Agency
10,11191360,NCT00958113,OTHER,lead,"University of Colorado, Denver",University
11,11191377,NCT00958451,FED,lead,Salem Veterans Affairs Medical Center,Health care Institution
12,11191378,NCT00958451,INDUSTRY,collaborator,Abbott,INDUSTRY
13,11192767,NCT00961701,OTHER,collaborator,University of Palermo,University
14,11192768,NCT00961701,OTHER,collaborator,University of Zurich,University
15,11192818,NCT00962221,OTHER,lead,"HaEmek Medical Center, Israel",Health care Institution
16,11192819,NCT00962221,OTHER,collaborator,University of Palermo,University
17,11192820,NCT00962221,OTHER,collaborator,University of Zurich,University
18,11293673,NCT01945762,INDUSTRY,lead,"Genzyme, a Sanofi Company",INDUSTRY
19,11293623,NCT01945229,OTHER,lead,Karolinska Institutet,Other organization
20,11293674,NCT01945762,OTHER,collaborator,Worldwide Clinical Trials,Other organization
21,11195398,NCT05407506,OTHER,lead,Luo Dingcun,Other organization
22,11193741,NCT00973336,OTHER,lead,Medical University of Vienna,University
23,11194464,NCT00982722,OTHER,lead,Karolinska University Hospital,Health care Institution
24,11194576,NCT00984191,OTHER,lead,Chulalongkorn University,Health care Institution
25,11293949,NCT03122496,OTHER,lead,Memorial Sloan Kettering Cancer Center,Health care Institution
26,11293950,NCT03122496,INDUSTRY,collaborator,AstraZeneca,INDUSTRY
27,11197764,NCT00001277,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
28,11079609,NCT02993302,OTHER,lead,Dr Cipto Mangunkusumo General Hospital,Health care Institution
29,11079610,NCT02993302,OTHER,collaborator,Indonesia University,University
30,10921859,NCT03139747,OTHER,lead,Thomas Jefferson University,University
31,11197955,NCT00993837,OTHER,lead,Second Military Medical University,University
32,11197509,NCT00454220,INDUSTRY,lead,"Genzyme, a Sanofi Company",INDUSTRY
33,11198790,NCT01003652,OTHER,lead,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Other organization
34,11198083,NCT00995163,INDUSTRY,lead,"Kyowa Kirin Co., Ltd.",Industry
35,11294102,NCT02834013,NIH,lead,National Cancer Institute (NCI),Government Agency
36,11294478,NCT01947023,NIH,lead,National Cancer Institute (NCI),Government Agency
37,11294190,NCT02628067,INDUSTRY,lead,Merck Sharp & Dohme LLC,INDUSTRY
38,11294264,NCT02465060,NIH,lead,National Cancer Institute (NCI),Government Agency
39,11055587,NCT01868997,INDUSTRY,lead,"Horizon Pharma USA, Inc.",Industry
40,11294576,NCT01660984,NIH,lead,National Cancer Institute (NCI),Government Agency
41,11294582,NCT01638533,NIH,lead,National Cancer Institute (NCI),Government Agency
42,11294583,NCT01638533,INDUSTRY,collaborator,Celgene Corporation,INDUSTRY
43,11200559,NCT01025128,OTHER,lead,Clalit Health Services,Other organization
44,11294770,NCT01005654,NIH,lead,National Cancer Institute (NCI),Government Agency
45,11294743,NCT01109420,NIH,lead,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Government Agency
46,11202037,NCT01042626,OTHER,lead,University of Eastern Piedmont,University
47,11201752,NCT01039714,OTHER,lead,Aristotle University Of Thessaloniki,University
48,11201759,NCT01039818,OTHER,lead,Hospital de Clinicas de Porto Alegre,Health care Institution
49,11201760,NCT01039818,OTHER,collaborator,Federal University of Rio Grande do Sul,University
50,11294883,NCT00342446,NIH,lead,National Cancer Institute (NCI),Government Agency
51,11202038,NCT01042626,OTHER,collaborator,University of Milan,University
